# scer_disaggregation_recovery_long.txt 
# Generated:  Thu Sep 10 02:25:21 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell, 2015 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment name
#   rep: biological replicate
#   time: minutes post heat-shock
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.ctrl: summed intensity for control (unshocked) sample
#   intensity.pre: summed intensity for shocked sample, pre-shock label
#   intensity.post: summed intensity for shocked sample, post-shock label
#   ratio.pre: normalized median ratio pre-shock label to unshocked
#   ratio.post: normalized median ratio post-shock label to unshocked
#   ratio.sum: ratio.pre + ratio.post
# 
orf	gene	experiment	rep	time	n.detections	n.peptides	intensity.ctrl	intensity.pre	intensity.post	ratio.pre	ratio.post	ratio.sum
YAL051W	OAF1	42C10min.30C0min	rep1	0	1	1	36184	948970	0	22.0122	0	22.0122
YAL059W	ECM1	42C10min.30C20min	rep1	20	2	2	2043580	1774650	69233	1.1068	0.0949	1.2017
YAL059W	ECM1	42C10min.30C60min	rep1	60	1	1	681090	559980	2620200	0.9587	4.486	5.4447
YAL059W	ECM1	42C10min.30C0min	rep1	0	2	1	1791320	2705770	717730	1.2967	0.3487	1.6453
YAL060W	BDH1	42C10min.30C20min	rep1	20	4	3	11961400	6979700	703292	0.7667	0.07	0.8367
YAL060W	BDH1	42C10min.30C60min	rep1	60	8	7	29991830	18315240	16826670	0.7075	0.2165	0.924
YAL060W	BDH1	42C10min.30C0min	rep1	0	3	1	2768740	1805190	693740	0.5397	0.2493	0.7891
YAR002W	NUP60	42C10min.30C20min	rep1	20	2	2	729620	473440	1689167.1	0.862	3.6342	4.4962
YAR002W	NUP60	42C10min.30C60min	rep1	60	1	1	1143600	946610	1232600	0.9652	1.2568	2.222
YAR007C	RFA1	42C10min.30C60min	rep1	60	7	6	28503100	24329320	16872220	0.9591	0.3116	1.2707
YAR007C	RFA1	42C10min.30C20min	rep1	20	10	6	13933580	8265130	7480099.8	0.7863	0.0346	0.8209
YAR007C	RFA1	42C10min.30C0min	rep1	0	8	3	7153170	6825770	442405	0.8096	0.0392	0.8489
YAR014C	BUD14	42C10min.30C60min	rep1	60	5	2	8821870	6130110	1399380	0.7853	0.1405	0.9258
YAR014C	BUD14	42C10min.30C0min	rep1	0	4	1	630430	567822	119153.6	0.7741	0.1065	0.8806
YAR014C	BUD14	42C10min.30C20min	rep1	20	4	1	2503800	1751250	99560.6	0.9328	0.0333	0.9661
YAR015W	ADE1	42C10min.30C20min	rep1	20	8	6	23448400	20291960	3873489	1.0498	0.0758	1.1256
YAR015W	ADE1	42C10min.30C60min	rep1	60	6	4	36307700	30631060	8458196.4	0.9207	0.198	1.1187
YAR015W	ADE1	42C10min.30C0min	rep1	0	14	3	25126521	27470198	823313.59	0.9855	0.0154	1.0009
YAR042W	SWH1	42C10min.30C20min	rep1	20	1	1	1305400	824650	1200900	0.8184	1.1919	2.0103
YAR042W	SWH1	42C10min.30C60min	rep1	60	1	1	222700	373020	108860	1.9532	0.57	2.5232
YBL004W	UTP20	42C10min.30C20min	rep1	20	1	1	1222100	253570	11614	0.2688	0.0123	0.2811
YBL007C	SLA1	42C10min.30C0min	rep1	0	2	2	1073570	1135560	194875	0.9444	0.136	1.0803
YBL007C	SLA1	42C10min.30C20min	rep1	20	2	2	1111820	1193391	48595	1.0858	0.139	1.2248
YBL007C	SLA1	42C10min.30C60min	rep1	60	1	1	2462400	2469800	216620	1.1696	0.1026	1.2722
YBL015W	ACH1	42C10min.30C60min	rep1	60	5	3	9461000	18845600	1611510	1.0557	0.2727	1.3284
YBL015W	ACH1	42C10min.30C20min	rep1	20	1	1	1987600	520020	664430	0.339	0.4331	0.7721
YBL017C	PEP1	42C10min.30C20min	rep1	20	1	1	1333000	1333400	70150	1.296	0.0682	1.3642
YBL017C	PEP1	42C10min.30C60min	rep1	60	1	1	2102900	3049800	136540	1.6911	0.0757	1.7668
YBL022C	PIM1	42C10min.30C20min	rep1	20	6	4	8671940	5725850	539804	1.0132	0.083	1.0962
YBL022C	PIM1	42C10min.30C60min	rep1	60	10	7	20845620	17246460	5142056	0.9873	0.255	1.2423
YBL022C	PIM1	42C10min.30C0min	rep1	0	1	1	703990	577570	680370	0.6886	0.8112	1.4998
YBL023C	MCM2	42C10min.30C20min	rep1	20	3	3	1496870	811940	85864	0.5397	0.0959	0.6356
YBL023C	MCM2	42C10min.30C60min	rep1	60	1	1	0	561130	316860	Inf	Inf	Inf
YBL024W	NCL1	42C10min.30C0min	rep1	0	11	7	17949958	20723034	1989482.1	0.9226	0.0808	1.0035
YBL024W	NCL1	42C10min.30C60min	rep1	60	33	22	138139540	113039403	18542909.8	0.9798	0.1604	1.1402
YBL024W	NCL1	42C10min.30C20min	rep1	20	33	20	82586542	56205819	7522314	0.8255	0.0824	0.9079
YBL026W	LSM2	42C10min.30C20min	rep1	20	6	4	4915090	3466860	1718444	0.8951	0.104	0.9991
YBL026W	LSM2	42C10min.30C0min	rep1	0	1	1	746540	538770	121870	0.6057	0.137	0.7427
YBL026W	LSM2	42C10min.30C60min	rep1	60	4	3	6374400	6820960	1038427	0.9705	0.1874	1.158
YBL031W	SHE1	42C10min.30C0min	rep1	0	1	1	52825	12366000	173700	196.4793	2.7599	199.2392
YBL031W	SHE1	42C10min.30C20min	rep1	20	1	1	151620	88653	42216	0.7575	0.3607	1.1183
YBL032W	HEK2	42C10min.30C20min	rep1	20	7	5	8815480	5619581	764866.4	0.8359	0.0867	0.9226
YBL032W	HEK2	42C10min.30C60min	rep1	60	4	4	3503980	7087620	621573	0.9395	0.1968	1.1364
YBL032W	HEK2	42C10min.30C0min	rep1	0	2	2	2844080	2606910	771990	0.7172	0.1422	0.8594
YBL033C	RIB1	42C10min.30C0min	rep1	0	1	1	420900	158380	46559	0.3158	0.0928	0.4087
YBL033C	RIB1	42C10min.30C20min	rep1	20	1	1	588390	354440	10445	0.7804	0.023	0.8034
YBL033C	RIB1	42C10min.30C60min	rep1	60	3	1	5920800	4016770	756020	0.7017	0.1521	0.8538
YBL035C	POL12	42C10min.30C60min	rep1	60	1	1	2907100	3938200	404450	1.5797	0.1622	1.7419
YBL036C	NA	42C10min.30C0min	rep1	0	4	3	2677946	1953334	1011664.4	0.6609	0.2038	0.8647
YBL036C	NA	42C10min.30C60min	rep1	60	11	7	50809100	48615800	17425010	0.8796	0.2306	1.1102
YBL036C	NA	42C10min.30C20min	rep1	20	8	4	16044710	9764270	984964	0.8164	0.0641	0.8805
YBL037W	APL3	42C10min.30C20min	rep1	20	1	1	540100	309320	0	0.742	0	0.742
YBL039C	URA7	42C10min.30C20min	rep1	20	21	13	82173350	55416180	9744409	0.8275	0.1836	1.0112
YBL039C	URA7	42C10min.30C60min	rep1	60	24	16	140354700	108092270	13037314.4	0.799	0.0961	0.8951
YBL039C	URA7	42C10min.30C0min	rep1	0	3	3	1961501	2014187	771950	0.6661	0.195	0.8611
YBL041W	PRE7	42C10min.30C20min	rep1	20	5	3	11741740	7922840	2125110	0.8721	0.2549	1.1271
YBL041W	PRE7	42C10min.30C0min	rep1	0	2	1	1574380	2664520	110360	1.4386	0.0571	1.4956
YBL041W	PRE7	42C10min.30C60min	rep1	60	9	6	41021433	34606430	9799960	0.9603	0.2478	1.2081
YBL045C	COR1	42C10min.30C20min	rep1	20	6	5	10060070	6550480	3789683	0.8188	0.2532	1.072
YBL045C	COR1	42C10min.30C60min	rep1	60	4	4	14871120	9718410	3775760	0.7594	0.3051	1.0645
YBL045C	COR1	42C10min.30C0min	rep1	0	2	1	2225020	2307690	409470	0.8182	0.1666	0.9848
YBL046W	PSY4	42C10min.30C0min	rep1	0	2	1	512070	29712	149932	0.0701	0.2483	0.3184
YBL046W	PSY4	42C10min.30C20min	rep1	20	1	1	4595600	1522800	151000	0.4293	0.0426	0.4719
YBL046W	PSY4	42C10min.30C60min	rep1	60	1	1	4043600	2400200	277040	0.6922	0.0799	0.772
YBL047C	EDE1	42C10min.30C60min	rep1	60	40	25	225369699	136380154	39615609.5	0.9045	0.2272	1.1317
YBL047C	EDE1	42C10min.30C20min	rep1	20	25	16	98047940	69317590	11449967.2	0.888	0.0744	0.9624
YBL047C	EDE1	42C10min.30C0min	rep1	0	12	7	11192400	12621520	2162964	0.9119	0.0669	0.9788
YBL050W	SEC17	42C10min.30C60min	rep1	60	2	1	1044240	603060	52045	0.7684	0.0678	0.8363
YBL051C	PIN4	42C10min.30C60min	rep1	60	1	1	5502400	3385000	641950	0.7174	0.136	0.8534
YBL051C	PIN4	42C10min.30C20min	rep1	20	2	1	4422300	4149800	0	1.2517	0	1.2517
YBL055C	NA	42C10min.30C0min	rep1	0	1	1	208430	0	208430	0	0.8393	0.8393
YBL055C	NA	42C10min.30C20min	rep1	20	2	1	886490	694080	61594	1.0234	0.0882	1.1116
YBL056W	PTC3	42C10min.30C20min	rep1	20	4	3	13572600	8167730	220860	0.7952	0.0481	0.8432
YBL056W	PTC3	42C10min.30C60min	rep1	60	5	3	14014600	9210700	2441570	0.7968	0.1727	0.9695
YBL058W	SHP1	42C10min.30C20min	rep1	20	28	13	49899370	40092340	3785138.8	0.9906	0.0712	1.0617
YBL058W	SHP1	42C10min.30C60min	rep1	60	30	17	125123402	99201879	30481484	0.9807	0.193	1.1736
YBL058W	SHP1	42C10min.30C0min	rep1	0	6	4	7479547.8	8509338	247069.2	0.8683	0.0423	0.9106
YBL064C	PRX1	42C10min.30C60min	rep1	60	9	6	28630900	28636400	13861820	1.1183	0.4969	1.6152
YBL064C	PRX1	42C10min.30C20min	rep1	20	6	5	15962500	14109900	1305245	1.2022	0.0751	1.2772
YBL064C	PRX1	42C10min.30C0min	rep1	0	6	2	23641600	23652500	1339612	0.8414	0.0797	0.9211
YBL068W	PRS4	42C10min.30C0min	rep1	0	2	2	866750	1206070	573646	1.1662	0.5027	1.6688
YBL076C	ILS1	42C10min.30C20min	rep1	20	102	40	510649420	367124260	91143800.3	0.9396	0.0514	0.9911
YBL076C	ILS1	42C10min.30C0min	rep1	0	97	36	278733336	305969066	55229050.9	0.9599	0.079	1.0389
YBL076C	ILS1	42C10min.30C60min	rep1	60	109	47	788477170	574487630	97728921.4	0.8744	0.1095	0.9839
YBL081W	NA	42C10min.30C20min	rep1	20	1	1	420000	186840	104350	0.5763	0.3219	0.8982
YBL084C	CDC27	42C10min.30C0min	rep1	0	1	1	453960	409850	178200	0.7578	0.3295	1.0872
YBL088C	TEL1	42C10min.30C20min	rep1	20	1	1	160960	572780	331450	4.6104	2.6679	7.2782
YBL091C	MAP2	42C10min.30C20min	rep1	20	3	3	4484270	2317420	487122	0.6167	0.1458	0.7625
YBL091C	MAP2	42C10min.30C0min	rep1	0	3	2	16373780	12296700	229070	0.6024	0.0871	0.6894
YBL091C	MAP2	42C10min.30C60min	rep1	60	1	1	1082900	788350	98959	0.8489	0.1066	0.9555
YBL092W	RPL32	42C10min.30C20min	rep1	20	25	6	577871140	432376690	26397605	1.0607	0.0562	1.117
