# scer_disaggregation_recovery_long.txt 
# Generated:  Thu Sep 10 02:25:21 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell, 2015 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment name
#   rep: biological replicate
#   time: minutes post heat-shock
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.ctrl: summed intensity for control (unshocked) sample
#   intensity.pre: summed intensity for shocked sample, pre-shock label
#   intensity.post: summed intensity for shocked sample, post-shock label
#   ratio.pre: normalized median ratio pre-shock label to unshocked
#   ratio.post: normalized median ratio post-shock label to unshocked
#   ratio.sum: ratio.pre + ratio.post
# 
orf	gene	experiment	rep	time	n.detections	n.peptides	intensity.ctrl	intensity.pre	intensity.post	ratio.pre	ratio.post	ratio.sum
YJR025C	BNA1	42C10min.30C20min	rep1	20	8	5	15476320	12949580	2476018	1.0709	0.1581	1.229
YJR025C	BNA1	42C10min.30C60min	rep1	60	8	4	43005400	39301700	10094783	1.0754	0.2534	1.3287
YJR025C	BNA1	42C10min.30C0min	rep1	0	2	2	858430	3482950	225642	4.896	0.339	5.2351
YJR031C	GEA1	42C10min.30C60min	rep1	60	1	1	59331	33612	27318	0.6606	0.5369	1.1975
YJR032W	CPR7	42C10min.30C20min	rep1	20	1	1	173730	108210	9633.5	0.807	0.0718	0.8788
YJR032W	CPR7	42C10min.30C60min	rep1	60	2	1	7256800	3153300	750630	0.6359	0.1378	0.7737
YJR033C	RAV1	42C10min.30C20min	rep1	20	2	1	503100	367970	23643.1	1.0312	0.0552	1.0864
YJR033C	RAV1	42C10min.30C0min	rep1	0	1	1	5134800	5051500	109860	0.8257	0.018	0.8437
YJR034W	PET191	42C10min.30C20min	rep1	20	1	1	417190	207790	62312	0.6453	0.1935	0.8388
YJR036C	HUL4	42C10min.30C60min	rep1	60	1	1	1234500	1005400	8533400	0.9497	8.0604	9.0101
YJR041C	URB2	42C10min.30C0min	rep1	0	1	1	315300	140120	1054500	0.373	2.807	3.18
YJR041C	URB2	42C10min.30C20min	rep1	20	1	1	236730	165870	15413	0.9078	0.0844	0.9921
YJR043C	POL32	42C10min.30C0min	rep1	0	1	1	0	139340	0	Inf	NA	NA
YJR045C	SSC1	42C10min.30C0min	rep1	0	117	24	915669363	795887928	62959438.4	0.7032	0.0368	0.7401
YJR045C	SSC1	42C10min.30C20min	rep1	20	104	29	1417048215	924736119	109401126.5	0.8229	0.083	0.9059
YJR045C	SSC1	42C10min.30C60min	rep1	60	112	30	2045285627	1819188660	461082874	0.9509	0.272	1.2228
YJR048W	CYC1	42C10min.30C20min	rep1	20	2	2	3130750	2470200	134724	1.2221	0.0606	1.2827
YJR048W	CYC1	42C10min.30C60min	rep1	60	2	1	3078600	6478800	695546	2.3082	0.2192	2.5274
YJR051W	OSM1	42C10min.30C60min	rep1	60	2	2	1679370	1198930	303118	0.8447	0.2082	1.0528
YJR055W	HIT1	42C10min.30C20min	rep1	20	1	1	177320	403040	319600	2.9448	2.3351	5.28
YJR059W	PTK2	42C10min.30C20min	rep1	20	1	1	318090	263460	2176.8	1.0731	0.0089	1.0819
YJR059W	PTK2	42C10min.30C60min	rep1	60	1	1	1745000	1087400	233670	0.7266	0.1561	0.8828
YJR060W	CBF1	42C10min.30C20min	rep1	20	7	5	4263690	2656610	393171	0.9308	0.1087	1.0395
YJR060W	CBF1	42C10min.30C60min	rep1	60	4	3	17778250	10981920	2116610	0.7197	0.1283	0.848
YJR062C	NTA1	42C10min.30C0min	rep1	0	1	1	356890	164530	38941	0.3869	0.0916	0.4785
YJR063W	RPA12	42C10min.30C20min	rep1	20	4	2	5226010	3863010	555270	0.9607	0.0513	1.0121
YJR063W	RPA12	42C10min.30C60min	rep1	60	1	1	1362400	1149700	139700	0.984	0.1196	1.1036
YJR064W	CCT5	42C10min.30C60min	rep1	60	13	9	72304050	59242070	13539991	1.011	0.2159	1.227
YJR064W	CCT5	42C10min.30C0min	rep1	0	7	2	15965800	18080000	1497760	0.9066	0.0748	0.9814
YJR064W	CCT5	42C10min.30C20min	rep1	20	23	13	62560280	42871063	5425514	0.8856	0.101	0.9866
YJR065C	ARP3	42C10min.30C20min	rep1	20	10	7	22300140	11534990	2506384.9	0.7564	0.1845	0.9409
YJR065C	ARP3	42C10min.30C60min	rep1	60	21	12	129378420	79133910	20533202.9	0.7516	0.1903	0.9419
YJR065C	ARP3	42C10min.30C0min	rep1	0	3	2	3216830	3535890	660021	0.933	0.1708	1.1038
YJR068W	RFC2	42C10min.30C60min	rep1	60	3	3	15694010	8762650	1839710	0.7511	0.1511	0.9021
YJR068W	RFC2	42C10min.30C20min	rep1	20	1	1	407010	247540	13056	0.788	0.0416	0.8295
YJR069C	HAM1	42C10min.30C20min	rep1	20	6	5	22970170	17063280	716927	0.9651	0.0615	1.0266
YJR069C	HAM1	42C10min.30C0min	rep1	0	1	1	157730	117950	4057.6	0.6276	0.0216	0.6492
YJR069C	HAM1	42C10min.30C60min	rep1	60	7	4	38699300	26137300	2786040	0.794	0.0963	0.8902
YJR070C	LIA1	42C10min.30C0min	rep1	0	25	10	61453978	42416054	8962008.8	0.593	0.0897	0.6827
YJR070C	LIA1	42C10min.30C20min	rep1	20	40	14	180344640	119034440	19240573	0.6903	0.1172	0.8075
YJR070C	LIA1	42C10min.30C60min	rep1	60	47	14	325463400	263990100	42560352	0.8853	0.142	1.0273
YJR072C	NPA3	42C10min.30C20min	rep1	20	4	4	4909400	3029980	520082	0.8762	0.1245	1.0007
YJR072C	NPA3	42C10min.30C60min	rep1	60	6	4	8778630	5988340	1890682	0.8726	0.2864	1.1589
YJR072C	NPA3	42C10min.30C0min	rep1	0	5	2	2387180	3168850	546616	1.0028	0.1406	1.1434
YJR074W	MOG1	42C10min.30C60min	rep1	60	7	5	15039230	12751040	8167900	0.9727	0.1279	1.1006
YJR074W	MOG1	42C10min.30C20min	rep1	20	4	2	2936560	2758240	522865	1.2165	0.319	1.5355
YJR074W	MOG1	42C10min.30C0min	rep1	0	1	1	555290	2855300	0	4.3158	0	4.3158
YJR076C	CDC11	42C10min.30C20min	rep1	20	4	3	9067320	5549520	832900	0.8677	0.1383	1.006
YJR076C	CDC11	42C10min.30C60min	rep1	60	3	3	12387500	8862800	3343390	0.8063	0.225	1.0312
YJR076C	CDC11	42C10min.30C0min	rep1	0	7	2	6453020	7279290	697586	0.7544	0.0722	0.8266
YJR077C	MIR1	42C10min.30C0min	rep1	0	1	1	21404000	27429000	245940	1.0756	0.0096	1.0852
YJR093C	FIP1	42C10min.30C60min	rep1	60	3	3	2584070	2624330	188574	1.4755	0.1077	1.5832
YJR093C	FIP1	42C10min.30C20min	rep1	20	1	1	961390	857100	49512	1.155	0.0667	1.2218
YJR096W	NA	42C10min.30C60min	rep1	60	2	2	3597000	2221260	1982690	0.8274	0.8822	1.7095
YJR097W	JJJ3	42C10min.30C60min	rep1	60	2	1	5033300	2679000	741800	0.6464	0.1688	0.8153
YJR099W	YUH1	42C10min.30C20min	rep1	20	3	2	2102480	1468450	589174	0.9631	0.3994	1.3625
YJR099W	YUH1	42C10min.30C60min	rep1	60	1	1	332590	376790	808550	1.321	2.8348	4.1558
YJR103W	URA8	42C10min.30C20min	rep1	20	8	6	9210290	5976090	528608.8	0.938	0.1195	1.0576
YJR103W	URA8	42C10min.30C60min	rep1	60	9	5	18222900	11830370	2089429.9	0.7233	0.1642	0.8875
YJR104C	SOD1	42C10min.30C0min	rep1	0	20	8	173813730	207349360	24306860	1.0326	0.1199	1.1524
YJR104C	SOD1	42C10min.30C20min	rep1	20	29	9	292059680	235925640	15231326	1.0568	0.0691	1.1259
YJR104C	SOD1	42C10min.30C60min	rep1	60	31	10	400015200	320971700	54456510	0.8765	0.137	1.0136
YJR105W	ADO1	42C10min.30C0min	rep1	0	31	11	179253240	191239433	17799916	0.9455	0.0635	1.009
YJR105W	ADO1	42C10min.30C20min	rep1	20	62	14	527848460	366318214	34722509.2	0.8845	0.0759	0.9604
YJR105W	ADO1	42C10min.30C60min	rep1	60	55	13	714572500	498264680	65251619	0.7948	0.1118	0.9066
YJR109C	CPA2	42C10min.30C20min	rep1	20	41	23	152325720	111202800	16017328	0.9151	0.1047	1.0197
YJR109C	CPA2	42C10min.30C60min	rep1	60	51	30	348110110	232218790	63485315	0.7691	0.1173	0.8865
YJR109C	CPA2	42C10min.30C0min	rep1	0	26	11	35258488	37106936	6757726	0.8391	0.0805	0.9196
YJR112W	NNF1	42C10min.30C0min	rep1	0	1	1	120020	316280	1166400	2.2118	8.1568	10.3686
YJR113C	RSM7	42C10min.30C20min	rep1	20	1	1	473020	127860	51801	0.3502	0.1419	0.4921
YJR113C	RSM7	42C10min.30C60min	rep1	60	1	1	1269000	629740	155590	0.5787	0.143	0.7216
YJR113C	RSM7	42C10min.30C0min	rep1	0	2	1	1143550	1080270	40602	0.794	0.0298	0.8238
YJR121W	ATP2	42C10min.30C20min	rep1	20	37	17	178972190	83500930	16694637	0.6259	0.1105	0.7363
YJR121W	ATP2	42C10min.30C60min	rep1	60	35	19	305675210	198382630	75831182	0.6227	0.2371	0.8598
YJR121W	ATP2	42C10min.30C0min	rep1	0	41	12	134589850	88332214	9848652.4	0.6828	0.0382	0.721
YJR123W	RPS5	42C10min.30C0min	rep1	0	71	11	403734359	502581740	20436499.4	1.0019	0.0292	1.0311
YJR123W	RPS5	42C10min.30C20min	rep1	20	60	13	1231541487	880225139	134287146.48	0.9162	0.0375	0.9537
YJR123W	RPS5	42C10min.30C60min	rep1	60	42	10	898031700	583404570	131648317	0.7908	0.0752	0.866
YJR125C	ENT3	42C10min.30C20min	rep1	20	13	7	20951590	13737793	1357451	0.8357	0.0263	0.8619
YJR125C	ENT3	42C10min.30C60min	rep1	60	8	4	18493730	15835860	2598970	1.02	0.1899	1.2099
YJR125C	ENT3	42C10min.30C0min	rep1	0	5	2	6214000	6283990	7514327	0.9333	0.5011	1.4344
YJR130C	STR2	42C10min.30C60min	rep1	60	1	1	1734700	887390	310020	0.5965	0.2084	0.8049
YJR132W	NMD5	42C10min.30C0min	rep1	0	4	2	586110	660415	94404	1.0248	0.165	1.1897
YJR132W	NMD5	42C10min.30C20min	rep1	20	2	2	1775860	1363730	65953.6	0.8843	0.0425	0.9269
YJR132W	NMD5	42C10min.30C60min	rep1	60	4	2	13444800	10895600	2896780	0.9367	0.2575	1.1943
YJR133W	XPT1	42C10min.30C60min	rep1	60	6	3	19106520	12044700	1656575	0.7337	0.0886	0.8224
YJR133W	XPT1	42C10min.30C20min	rep1	20	3	2	4985670	2092810	150587	0.5288	0.0356	0.5644
YJR136C	TTI2	42C10min.30C60min	rep1	60	1	1	21648000	12903000	18942000	0.695	1.0203	1.7153
YJR139C	HOM6	42C10min.30C60min	rep1	60	77	23	1401302960	1038453000	134501924	0.8845	0.1124	0.9969
YJR139C	HOM6	42C10min.30C0min	rep1	0	57	17	262157428	288483485	38243500.1	0.9407	0.0536	0.9943
YJR139C	HOM6	42C10min.30C20min	rep1	20	71	19	763989597	563859712	147915588	0.976	0.0482	1.0242
YJR142W	NA	42C10min.30C20min	rep1	20	1	1	352980	142440	122610	0.5228	0.45	0.9728
YJR144W	MGM101	42C10min.30C20min	rep1	20	3	3	460056	518270	12803	1.6733	0	1.6733
YJR145C	RPS4A	42C10min.30C0min	rep1	0	99	19	1112795140	1300766590	48261458.4	0.978	0.0322	1.0102
YJR145C	RPS4A	42C10min.30C20min	rep1	20	109	21	2752114800	1980685290	194963853	0.9261	0.0202	0.9463
YJR145C	RPS4A	42C10min.30C60min	rep1	60	95	24	2326513342	1603374210	190212473.6	0.7782	0.0577	0.8359
YJR148W	BAT2	42C10min.30C60min	rep1	60	7	4	23622200	19668100	10724450	0.9471	0.363	1.3101
YJR148W	BAT2	42C10min.30C20min	rep1	20	3	2	6132210	3917260	270540	0.894	0.0543	0.9483
YKL003C	MRP17	42C10min.30C20min	rep1	20	1	1	579130	195940	137700	0.4383	0.3081	0.7464
YKL006W	RPL14A	42C10min.30C0min	rep1	0	26	5	239971050	269216340	18233377	0.9558	0.0241	0.9799
YKL006W	RPL14A	42C10min.30C20min	rep1	20	17	5	476684470	363412630	12021600	0.9793	0.0133	0.9926
YKL006W	RPL14A	42C10min.30C60min	rep1	60	12	6	319943900	227939780	15893522	0.8471	0.0541	0.9012
YKL007W	CAP1	42C10min.30C20min	rep1	20	13	5	30261230	22767570	14438874	0.9254	0.1286	1.054
YKL007W	CAP1	42C10min.30C60min	rep1	60	14	6	69472130	43947990	20794770	0.7933	0.2537	1.047
YKL007W	CAP1	42C10min.30C0min	rep1	0	1	1	669490	712190	237510	0.8929	0.2978	1.1906
YKL009W	MRT4	42C10min.30C0min	rep1	0	4	1	2470170	1736180	1232449	0.5131	0.3019	0.8151
YKL009W	MRT4	42C10min.30C20min	rep1	20	7	6	22330260	13935830	3523004	0.7085	0.1885	0.897
YKL009W	MRT4	42C10min.30C60min	rep1	60	2	2	5245700	1933510	305490	0.4381	0.0617	0.4998
YKL010C	UFD4	42C10min.30C60min	rep1	60	7	4	6332730	3509640	780417	0.6325	0.0779	0.7103
YKL010C	UFD4	42C10min.30C20min	rep1	20	6	5	3840690	1921000	523582	0.6441	0.1539	0.798
YKL012W	PRP40	42C10min.30C0min	rep1	0	1	1	11404000	2116900	1298200	0.1558	0.0955	0.2513
YKL013C	ARC19	42C10min.30C20min	rep1	20	7	5	30356510	19859500	330042.5	0.8809	0.01	0.8909
YKL013C	ARC19	42C10min.30C60min	rep1	60	6	4	66597800	42879700	2753150	0.8227	0.0767	0.8994
YKL013C	ARC19	42C10min.30C0min	rep1	0	5	2	10794410	10988990	759710	0.7045	0	0.7045
YKL014C	URB1	42C10min.30C20min	rep1	20	3	3	748220	1512950	9648.2	0.781	0.0158	0.7968
YKL014C	URB1	42C10min.30C0min	rep1	0	1	1	407020	459760	22369	0.9481	0.0461	0.9942
YKL016C	ATP7	42C10min.30C60min	rep1	60	1	1	2332600	945970	1192700	0.4729	0.5962	1.0691
YKL018W	SWD2	42C10min.30C60min	rep1	60	3	2	4614500	2568430	826560	0.6523	0.2647	0.917
YKL019W	RAM2	42C10min.30C20min	rep1	20	1	1	658290	305920	25167	0.6021	0.0495	0.6516
YKL021C	MAK11	42C10min.30C60min	rep1	60	1	1	1478400	798360	0	0.6297	0	0.6297
YKL021C	MAK11	42C10min.30C20min	rep1	20	2	2	2308160	961380	80764	0.5112	0.0429	0.5541
YKL022C	CDC16	42C10min.30C20min	rep1	20	1	1	442250	275460	11281	0.807	0.033	0.84
YKL023W	NA	42C10min.30C20min	rep1	20	1	1	375200	142870	5378.7	0.4933	0.0186	0.5119
YKL024C	URA6	42C10min.30C20min	rep1	20	17	8	92089020	59978003	3629528	0.9062	0.0332	0.9395
YKL024C	URA6	42C10min.30C60min	rep1	60	21	9	191561030	123431890	25231740	0.7263	0.0742	0.8005
YKL024C	URA6	42C10min.30C0min	rep1	0	12	4	41196810	43392770	1885256	0.8069	0.0408	0.8477
YKL025C	PAN3	42C10min.30C20min	rep1	20	1	1	1183100	835060	142550	0.9145	0.1561	1.0706
YKL029C	MAE1	42C10min.30C60min	rep1	60	13	8	37510120	19711160	4183400	0.6542	0.1132	0.7674
YKL029C	MAE1	42C10min.30C20min	rep1	20	9	8	24501130	11021940	671846	0.483	0.0382	0.5212
YKL029C	MAE1	42C10min.30C0min	rep1	0	4	2	4878980	1519050	165975	0.3025	0.004	0.3066
YKL033W	TTI1	42C10min.30C0min	rep1	0	1	1	1834400	2235600	349720	1.0229	0.16	1.1829
YKL033W	TTI1	42C10min.30C20min	rep1	20	1	1	354040	179990	0	0.6587	0	0.6587
YKL033W-A	NA	42C10min.30C60min	rep1	60	12	6	57692570	41054950	7634479	0.8468	0.1331	0.9799
YKL033W-A	NA	42C10min.30C20min	rep1	20	8	5	12589860	6300609	785454.9	0.6169	0.0928	0.7096
YKL033W-A	NA	42C10min.30C0min	rep1	0	1	1	1147900	353350	78544	0.2584	0.0574	0.3158
YKL035W	UGP1	42C10min.30C0min	rep1	0	37	11	160370110	162169230	18114681	0.8889	0.0577	0.9466
YKL035W	UGP1	42C10min.30C20min	rep1	20	51	20	368024980	252346540	44055363	0.892	0.1295	1.0215
YKL035W	UGP1	42C10min.30C60min	rep1	60	50	20	587657750	498528990	181481460	0.895	0.3327	1.2277
YKL040C	NFU1	42C10min.30C20min	rep1	20	5	5	5876400	8918690	739362	0.7375	0.0741	0.8116
YKL040C	NFU1	42C10min.30C60min	rep1	60	5	4	13372600	10724340	2352026.4	1.036	0.2181	1.2541
YKL040C	NFU1	42C10min.30C0min	rep1	0	1	1	973340	978830	238100	0.8441	0.2053	1.0494
YKL045W	PRI2	42C10min.30C20min	rep1	20	1	1	827110	332950	87481	0.5215	0.137	0.6586
YKL054C	DEF1	42C10min.30C20min	rep1	20	9	4	11509190	9404930	1229099	0.952	0.0808	1.0328
YKL054C	DEF1	42C10min.30C60min	rep1	60	5	4	12254020	11529760	1917530	1.0978	0.2251	1.3229
YKL056C	TMA19	42C10min.30C0min	rep1	0	29	7	383247580	301646700	17215720	0.6921	0.0278	0.7199
YKL056C	TMA19	42C10min.30C20min	rep1	20	28	10	464968890	331300049	12235774.8	0.847	0.0336	0.8806
YKL056C	TMA19	42C10min.30C60min	rep1	60	27	10	837425270	571455350	57586674	0.7956	0.0824	0.878
YKL057C	NUP120	42C10min.30C0min	rep1	0	2	1	313740	176791	38713	0.4789	0.106	0.5849
YKL057C	NUP120	42C10min.30C20min	rep1	20	4	2	3262520	2029570	153615	0.7842	0.069	0.8532
YKL057C	NUP120	42C10min.30C60min	rep1	60	1	1	428750	306080	84755	0.8324	0.2305	1.063
YKL058W	TOA2	42C10min.30C0min	rep1	0	2	1	1694730	1475260	95479	0.7851	0.0287	0.8138
YKL058W	TOA2	42C10min.30C20min	rep1	20	1	1	281990	168250	99334	0.773	0.4564	1.2294
YKL058W	TOA2	42C10min.30C60min	rep1	60	5	2	6719510	4852200	1236860	0.8282	0.2372	1.0654
YKL059C	MPE1	42C10min.30C20min	rep1	20	1	1	264290	187900	12168	0.9211	0.0596	0.9808
YKL059C	MPE1	42C10min.30C60min	rep1	60	2	1	457440	312470	66269	0.8813	0.1772	1.0584
YKL060C	FBA1	42C10min.30C0min	rep1	0	208	18	5490248999	6004764679	260452189.7	0.9231	0.0376	0.9607
YKL060C	FBA1	42C10min.30C20min	rep1	20	205	20	9475461449	6610015328	478884596.9	0.9272	0.0771	1.0043
YKL060C	FBA1	42C10min.30C60min	rep1	60	196	22	13102362195	9223905330	1376470066	0.8198	0.128	0.9477
YKL067W	YNK1	42C10min.30C0min	rep1	0	23	5	92115930	95411810	2648203	0.8917	0.0219	0.9136
YKL067W	YNK1	42C10min.30C60min	rep1	60	21	9	187562000	137396510	85643440	0.8367	0.1616	0.9983
YKL067W	YNK1	42C10min.30C20min	rep1	20	21	8	157585570	107622020	83094270	0.896	0.0372	0.9331
YKL073W	LHS1	42C10min.30C20min	rep1	20	3	2	7468600	5701820	510580	0.8833	0.1019	0.9852
YKL073W	LHS1	42C10min.30C60min	rep1	60	2	2	6185200	4681400	783760	0.9958	0.1708	1.1667
YKL073W	LHS1	42C10min.30C0min	rep1	0	2	2	2270380	2438990	405708	0.8924	0.136	1.0284
YKL074C	MUD2	42C10min.30C0min	rep1	0	1	1	1957100	2523100	49334	1.0821	0.0212	1.1032
YKL074C	MUD2	42C10min.30C20min	rep1	20	2	1	464930	406060	202065	1.1448	0.5703	1.7152
YKL079W	SMY1	42C10min.30C20min	rep1	20	1	1	1417800	961960	518360	0.879	0.4737	1.3527
YKL079W	SMY1	42C10min.30C60min	rep1	60	1	1	448040	163430	212510	0.4253	0.5531	0.9784
YKL080W	VMA5	42C10min.30C0min	rep1	0	25	7	70298370	76083790	9923583.2	0.8907	0.0669	0.9576
YKL080W	VMA5	42C10min.30C20min	rep1	20	26	9	195197350	138183680	22153152.2	0.8297	0.0798	0.9095
YKL080W	VMA5	42C10min.30C60min	rep1	60	34	11	387825800	296529860	187231380	0.863	0.175	1.038
YKL081W	TEF4	42C10min.30C20min	rep1	20	45	16	977251041	680748302	74686832.2	0.8697	0.0606	0.9303
YKL081W	TEF4	42C10min.30C60min	rep1	60	51	18	1077975660	900440674	85186629.2	0.8681	0.0891	0.9572
YKL081W	TEF4	42C10min.30C0min	rep1	0	55	18	442366640	259243274	40148365.4	0.465	0.0388	0.5038
YKL082C	RRP14	42C10min.30C20min	rep1	20	2	1	1593150	1035010	74278.4	0.8697	0.068	0.9377
YKL085W	MDH1	42C10min.30C20min	rep1	20	25	10	112211720	84964440	6887128.8	0.9655	0.0742	1.0397
YKL085W	MDH1	42C10min.30C60min	rep1	60	29	15	215868940	192151090	52453970	0.9254	0.2236	1.149
YKL085W	MDH1	42C10min.30C0min	rep1	0	31	7	154370039	170374940	8158588.1	0.9569	0.0339	0.9908
YKL088W	CAB3	42C10min.30C20min	rep1	20	1	1	768340	418970	0	0.7065	0	0.7065
YKL088W	CAB3	42C10min.30C60min	rep1	60	1	1	1039400	599560	100270	0.6726	0.1125	0.7851
YKL096W	CWP1	42C10min.30C20min	rep1	20	1	1	2391700	1378000	2412100	0.7465	1.3066	2.0531
YKL096W	CWP1	42C10min.30C60min	rep1	60	2	1	2504400	1865330	1285890	0.9248	0.568	1.4928
YKL101W	HSL1	42C10min.30C60min	rep1	60	2	1	9363100	8515000	14454700	1.252	1.8431	3.0951
YKL101W	HSL1	42C10min.30C20min	rep1	20	1	1	584680	206050	1859700	0.4566	4.1209	4.5775
YKL101W	HSL1	42C10min.30C0min	rep1	0	1	1	14254	5519500	339300	325.0051	19.979	344.9841
YKL103C	APE1	42C10min.30C0min	rep1	0	7	5	7715230	9419950	4435896	1.0241	0.1486	1.1727
YKL103C	APE1	42C10min.30C60min	rep1	60	12	8	53701040	43909160	12380649	0.933	0.2859	1.2189
YKL103C	APE1	42C10min.30C20min	rep1	20	9	7	23356680	19329270	8396502	0.86	0.2464	1.1064
YKL104C	GFA1	42C10min.30C60min	rep1	60	36	20	141468070	108700420	25840212	0.8781	0.1748	1.0529
YKL104C	GFA1	42C10min.30C20min	rep1	20	40	21	115796620	77666640	24430530.8	0.936	0.0789	1.0149
YKL104C	GFA1	42C10min.30C0min	rep1	0	16	10	24139070	24751220	1291953	0.8385	0.0383	0.8767
YKL109W	HAP4	42C10min.30C20min	rep1	20	1	1	2832600	2092200	315660	0.9569	0.1444	1.1013
YKL110C	KTI12	42C10min.30C0min	rep1	0	2	1	1740310	1765540	294900	0.8568	0.1456	1.0024
YKL110C	KTI12	42C10min.30C20min	rep1	20	6	4	7392990	5234020	516710	0.8422	0.1365	0.9788
YKL110C	KTI12	42C10min.30C60min	rep1	60	3	2	5007900	3388270	950980	0.8304	0.2582	1.0886
YKL112W	ABF1	42C10min.30C60min	rep1	60	2	2	1007510	623470	165737	0.9595	0.2405	1.1999
YKL112W	ABF1	42C10min.30C20min	rep1	20	1	1	198160	122840	43526	0.8031	0.2846	1.0877
YKL113C	RAD27	42C10min.30C60min	rep1	60	1	1	1771200	612730	4635.3	0.4034	0.0031	0.4064
YKL113C	RAD27	42C10min.30C0min	rep1	0	2	1	1117020	1294020	397290	1.0124	0.3363	1.3486
YKL113C	RAD27	42C10min.30C20min	rep1	20	1	1	760510	436350	156700	0.7434	0.2669	1.0103
YKL114C	APN1	42C10min.30C20min	rep1	20	1	1	305810	82317	0	0.3487	0	0.3487
YKL114C	APN1	42C10min.30C60min	rep1	60	1	1	1854500	1159500	131350	0.7291	0.0826	0.8117
YKL117W	SBA1	42C10min.30C20min	rep1	20	17	6	205633580	130665040	81607154	0.8972	0.1901	1.0873
YKL117W	SBA1	42C10min.30C60min	rep1	60	18	6	267052270	202198720	67001560	0.8833	0.2685	1.1518
YKL117W	SBA1	42C10min.30C0min	rep1	0	7	3	48919260	54292190	7459500	0.9434	0.098	1.0414
YKL122C	SRP21	42C10min.30C0min	rep1	0	1	1	12921	0	12921	0	0.8393	0.8393
YKL122C	SRP21	42C10min.30C60min	rep1	60	5	3	13678494	10368696	8522220.5	0.869	0.23	1.0991
YKL122C	SRP21	42C10min.30C20min	rep1	20	1	1	3328100	1885800	254500	0.7341	0.0991	0.8332
YKL126W	YPK1	42C10min.30C0min	rep1	0	2	2	501250	305596	31234	0.5017	0.1207	0.6224
YKL126W	YPK1	42C10min.30C20min	rep1	20	11	8	13375930	8174658	1890705.5	0.7665	0.0809	0.8474
YKL126W	YPK1	42C10min.30C60min	rep1	60	14	7	25995420	19333630	2862668	0.7701	0.0606	0.8307
YKL127W	PGM1	42C10min.30C20min	rep1	20	17	9	64747640	51260150	14241122	1.0563	0.1697	1.226
YKL127W	PGM1	42C10min.30C0min	rep1	0	20	5	96359780	120516000	14400298	0.9889	0.0337	1.0226
YKL127W	PGM1	42C10min.30C60min	rep1	60	19	12	77338400	61754700	23478558	0.959	0.1396	1.0986
YKL128C	PMU1	42C10min.30C20min	rep1	20	3	2	3581930	1515340	19995	0.5834	0	0.5834
YKL128C	PMU1	42C10min.30C60min	rep1	60	4	2	9406500	6871300	1718600	0.9086	0.239	1.1476
YKL135C	APL2	42C10min.30C0min	rep1	0	2	1	710360	716800	10318500	0.8475	12.202	13.0496
YKL135C	APL2	42C10min.30C20min	rep1	20	3	3	2967280	4891046	979321.9	1.0713	0.3322	1.4035
YKL137W	CMC1	42C10min.30C0min	rep1	0	3	1	6521750	4173310	544418	0.5239	0.0701	0.594
YKL141W	SDH3	42C10min.30C0min	rep1	0	1	1	15153	2314900	237780	128.2215	13.1705	141.392
YKL142W	MRP8	42C10min.30C0min	rep1	0	18	6	46268140	40779000	8282758	0.7818	0.0798	0.8616
YKL142W	MRP8	42C10min.30C20min	rep1	20	19	9	72853170	48363050	3884545	0.8461	0.0524	0.8985
YKL142W	MRP8	42C10min.30C60min	rep1	60	13	8	117048700	98465000	28007834	0.9071	0.2262	1.1332
YKL143W	LTV1	42C10min.30C60min	rep1	60	3	1	7152400	4609200	509200	0.6016	0.1147	0.7163
YKL145W	RPT1	42C10min.30C20min	rep1	20	14	12	30083400	20271390	9742448	0.7688	0.0937	0.8625
YKL145W	RPT1	42C10min.30C60min	rep1	60	15	9	61212160	50053810	51197040	0.8959	0.2684	1.1643
YKL145W	RPT1	42C10min.30C0min	rep1	0	8	2	7122281	5043230	462175	0.8196	0.1052	0.9248
YKL150W	MCR1	42C10min.30C60min	rep1	60	5	4	13325935	11129000	2763855	0.9973	0.262	1.2593
YKL150W	MCR1	42C10min.30C20min	rep1	20	3	3	8162000	7101958	4549198	0.9188	0.1529	1.0716
YKL151C	NA	42C10min.30C20min	rep1	20	1	1	157630	64769	7054.9	0.5323	0.058	0.5903
YKL151C	NA	42C10min.30C60min	rep1	60	2	2	5058170	4442650	1582500	1.0115	0.1897	1.2012
YKL152C	GPM1	42C10min.30C0min	rep1	0	109	15	2357444989	2712078027	112487688.8	0.9485	0.0395	0.988
YKL152C	GPM1	42C10min.30C20min	rep1	20	77	16	5253333870	3863341946	241349469.1	0.9428	0.0688	1.0116
YKL152C	GPM1	42C10min.30C60min	rep1	60	66	16	5561003854	4130027666	569322319	0.8898	0.1128	1.0026
YKL156W	RPS27A	42C10min.30C0min	rep1	0	36	4	239486370	279812680	7030390	0.9991	0.0265	1.0255
